ID	Length	Adenine	Cytosine	Guanine	Thymine	N	GCcontent	Errors
216|*|c37241_g1_i1	4952	19.4466882067851	33.9458804523425	29.8263327948304	16.781098546042	0	63.7722132471729	0
217|*|c37538_g1_i2	4946	18.6615446825718	30.1657905378083	33.2187626364739	17.953902143146	0	63.3845531742822	0
218|*|c37620_g7_i1	4932	18.0251419302514	30.9813463098135	32.7453365774534	18.2481751824818	0	63.7266828872668	0
219|*|c37626_g6_i1	4926	16.9102720259846	32.0544051969143	32.9273244011368	18.1079983759643	0	64.9817295980511	0
220|*|c37267_g1_i1	4923	16.9205768840138	31.2411131423929	33.0895795246801	18.7487304489133	0	64.3306926670729	0
221|*|c37607_g1_i3	4914	16.1579161579162	30.7285307285307	33.8624338624339	19.2511192511192	0	64.5909645909646	0
222|*|c36219_g1_i1	4912	18.75	29.5399022801303	31.514657980456	20.1954397394137	0	61.0545602605863	0
223|*|c37432_g1_i3	4900	19.8571428571429	31.8367346938775	31.4489795918367	16.8571428571429	0	63.2857142857143	0
224|*|c37440_g3_i3	4898	16.3740302164149	31.1555737035525	30.5022458146182	21.9681502654145	0	61.6578195181707	0
225|*|c37310_g2_i6	4861	18.103270931907	31.9687307138449	33.408763628883	16.5192347253652	0	65.3774943427278	0
226|*|c36976_g1_i2	4855	20.6385169927909	29.6189495365602	31.6580844490216	18.0844490216272	0	61.2770339855819	0
227|*|c37463_g3_i7	4843	22.4860623580425	31.3855048523642	28.8251084038819	17.3033243857113	0	60.2106132562461	0
